Data_ID,Country_Code,Year,Country,Area_Harvested_ha,Production_tonnes,Yield_hg_per_ha,GDP,Mortalilty,Fertility,Population,Trade_Import,Trade_Export,Total_Violent_fatalities
206,YEM,1998,Yemen,1072741,2324917,3160289,429.1471796,9.531,6.744,16896,0,0,8
207,YEM,1999,Yemen,922840,2214755,3185692,500.2583785,9.307,6.527,17378,0,0,11
208,YEM,2000,Yemen,928781,2294909,3211809,607.8170621,9.09,6.335,17875,0,0,38
209,YEM,2001,Yemen,976539,2402725,3303141,611.221506,8.875,6.164,18390,0,0,0
210,YEM,2002,Yemen,914256,2296684,3302840,647.3371934,8.659,6.002,18919,0,0,7
211,YEM,2003,Yemen,856469,2189726,3317465,696.5075851,8.44,5.842,19462,0,0,17
212,YEM,2004,Yemen,945721,2227897,3308414,780.1668418,8.218,5.68,20017,3987422348,472486780,0
213,YEM,2005,Yemen,1056215,2366375,3264756,925.0950063,7.998,5.515,20583,5399865157,5607665601,12
214,YEM,2006,Yemen,1157062,2771635,3463293,1078.067138,7.785,5.347,21161,68883262,665408488,11
215,YEM,2007,Yemen,1312545,3175372,3568281,1178.472796,7.584,5.18,21752,85178299,6298942738,25
216,YEM,2008,Yemen,1071282,2937620,3557275,1359.664949,7.4,5.016,22356,10546160169,7583784105,84
217,YEM,2009,Yemen,989006,2954803,3593031,1224.137709,7.234,4.856,22975,9184846734,6258955204,143
218,YEM,2010,Yemen,1248737,3432478,3675584,1229.775515,7.088,4.703,23607,9255368349,643747710,420
219,YEM,2011,Yemen,1104407,3017871,3567067,1281.485847,6.958,4.556,24252,1033590105,6947667409,572
220,YEM,2012,Yemen,1173384,3287652,3652094,1287.62773,6.842,4.416,24910,11259564178,762059466,1262
221,YEM,2013,Yemen,1170544,3134806,3573918,1358.885271,6.735,4.284,25576,13272928405,712986232,732
222,YEM,2014,Yemen,1034940,2947703,3597506,1272.528281,6.636,4.16,26246,1241580986,2416887808,1647
223,YEM,2015,Yemen,890157,2718106,3642385,419,0,0,0,6572822909,509857735,2698
224,YEM,2016,Yemen,1114148,3186744,3696396,419,0,0,0,0,0,1951
